directories in the tree            : 407
directories carrying at least one file : 324
directories carrying none          : 83
files                              : 9641
bytes                              : 2925489709

  directory                                             files          bytes       share
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtPrintSupport.framework/Versions/5/_CodeSignature      1           2318     0.0001 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtWidgets.framework/Versions/5/_CodeSignature      1           2318     0.0001 %
  dlc/Magic_and_SFPack(for_v1.6)                            1           2000     0.0001 %
  dlc/Magic_and_SFPack(for_v1.6)/Resource                   1           2000     0.0001 %
  dlc/Magic_and_SFPack(for_v1.6)/Sample_Project             3           1920     0.0001 %
  dlc/parallax_Resource_Pack/sample_project                 3           1910     0.0001 %
  NewData                                                   2           1839     0.0001 %
  dlc/RPG Maker Freebies/RPG Maker MV Free Resources/Plugins/Archeia_Steamworks      2           1818     0.0001 %
  dlc/KadokawaPlugins_New/samples/Slot Machine Sample       2           1394     0.0000 %
  dlc/KadokawaPlugins_New/samples/Gacha Sample              2           1387     0.0000 %
  dlc/RPGmakerWeb_plugins/Archeia                           1           1091     0.0000 %
  Help                                                      1           1047     0.0000 %
  dlc/RPG Maker Freebies/Marimo                             1            880     0.0000 %
  Help/inc/js                                               1            748     0.0000 %
  tutorial-osx/TutorialGui.app/Contents                     2            744     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtPrintSupport.framework/Versions/5/Resources      1            724     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtNetwork.framework/Versions/5/Resources      1            714     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtWidgets.framework/Versions/5/Resources      1            714     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtCore.framework/Versions/5/Resources      1            708     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtGui.framework/Versions/5/Resources      1            706     0.0000 %
  dlc/DarkFantasyCharacterPack                              1            662     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Resources           2             78     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtPrintSupport.framework      2             57     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtNetwork.framework      2             52     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtWidgets.framework      2             52     0.0000 %
  projects                                                  1             51     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtCore.framework      2             49     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtGui.framework      2             48     0.0000 %
  RPG Maker MV.app/Contents/MacOS                           1              2     0.0000 %
  Scene Builder.app/Contents/MacOS                          1              2     0.0000 %
  Tileset Builder.app/Contents/MacOS                        1              2     0.0000 %
  tool/GENE                                                 1              2     0.0000 %
  tool/MADO                                                 1              2     0.0000 %
  tool/SAKAN                                                1              2     0.0000 %
  Window Builder.app/Contents/MacOS                         1              2     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtCore.framework/Versions      1              1     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtGui.framework/Versions      1              1     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtNetwork.framework/Versions      1              1     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtPrintSupport.framework/Versions      1              1     0.0000 %
  tutorial-osx/TutorialGui.app/Contents/Frameworks/QtWidgets.framework/Versions      1              1     0.0000 %
  SUM                                                    9641     2925489709

  rows sum to the file count : False
  rows sum to the byte count : False
  RESIDUE                    : -7615 files, -2582767305 bytes

  the seven top-level totals:
    dlc            4612     1458606099    49.8585 %
    NewData        1101      403792717    13.8026 %
    nwjs-win-test    152      232540106     7.9488 %
    nwjs-lnx        122      202552945     6.9237 %
    nwjs-win        125      159791316     5.4620 %
    Help            491       47622147     1.6278 %
    tutorial-win     40       45369543     1.5508 %
    tutorial-osx     49       22551339     0.7709 %
    Generator      2738        9283272     0.3173 %
    qtwebengine_locales     53       14282881     0.4882 %
    (root)           37      323097210    11.0442 %
    SUM            9520     2919489575
    residue against the tree : 121 files, 6000134 bytes
